member,Fy,span_ft,w_asd_plf,footnote
1400S300-54,50,8,588.0,e
1400S300-54,50,10,470.0,e
1400S300-54,50,12,392.0,e
1400S200-68,50,3,3152.0,e
1400S200-68,50,4,2364.0,e
1400S200-68,50,5,1891.0,e
1400S200-68,50,6,1576.0,e
1400S200-68,50,8,1182.0,e
1400S200-68,50,10,946.0,e
1400S200-68,50,12,788.0,e
1400S250-68,50,3,3152.0,e
1400S250-68,50,4,2364.0,e
1400S250-68,50,5,1891.0,e
1400S250-68,50,6,1576.0,e
1400S250-68,50,8,1182.0,e
1400S250-68,50,10,946.0,e
1400S250-68,50,12,788.0,e
1400S300-68,50,3,3152.0,e
1400S300-68,50,4,2364.0,e
1400S300-68,50,5,1891.0,e
1400S300-68,50,6,1576.0,e
1400S300-68,50,8,1182.0,e
1400S300-68,50,10,946.0,e
1400S300-68,50,12,788.0,e
1400S200-97,50,3,9251.0,e
1400S200-97,50,4,6938.0,e
1400S200-97,50,5,5550.0,e
1400S200-97,50,6,4625.0,e
1400S200-97,50,8,3444.0,e
1400S200-97,50,10,2204.0,e
1400S200-97,50,12,1531.0,e
1400S250-97,50,3,9251.0,e
1400S250-97,50,4,6938.0,e
1400S250-97,50,5,5550.0,e
1400S250-97,50,6,4625.0,e
1400S250-97,50,8,3469.0,e
1400S250-97,50,10,2373.0,e
1400S250-97,50,12,1648.0,e
1400S300-97,50,3,9251.0,e
1400S300-97,50,4,6938.0,e
1400S300-97,50,5,5550.0,e
1400S300-97,50,6,4625.0,e
1400S300-97,50,8,3469.0,e
1400S300-97,50,10,2516.0,e
1400S300-97,50,12,1747.0,e
1400S200-118,50,3,16991.0,e
1400S200-118,50,4,12743.0,e
1400S200-118,50,5,10194.0,e
1400S200-118,50,6,7825.0,e
1400S200-118,50,8,4401.0,e
1400S200-118,50,10,2817.0,e
1400S200-118,50,12,1956.0,e
1400S250-118,50,3,16991.0,e
1400S250-118,50,4,12743.0,e
1400S250-118,50,5,10194.0,e
1400S250-118,50,6,8495.0,e
1400S250-118,50,8,4899.0,e
1400S250-118,50,10,3135.0,e
1400S250-118,50,12,2177.0,e
1400S300-118,50,3,16991.0,e
1400S300-118,50,4,12743.0,e
1400S300-118,50,5,10194.0,e
1400S300-118,50,6,8495.0,e
1400S300-118,50,8,5224.0,e
1400S300-118,50,10,3344.0,e
1400S300-118,50,12,2322.0,e
1600S200-68,50,3,2749.0,e
1600S200-68,50,4,2062.0,e
1600S200-68,50,5,1650.0,e
1600S200-68,50,6,1375.0,e
1600S200-68,50,8,1031.0,e
1600S200-68,50,10,825.0,e
1600S200-68,50,12,687.0,e
1600S250-68,50,3,2749.0,e
1600S250-68,50,4,2062.0,e
1600S250-68,50,5,1650.0,e
1600S250-68,50,6,1375.0,e
1600S250-68,50,8,1031.0,e
1600S250-68,50,10,825.0,e
1600S250-68,50,12,687.0,e
1600S300-68,50,3,2749.0,e
1600S300-68,50,4,2062.0,e
1600S300-68,50,5,1650.0,e
1600S300-68,50,6,1375.0,e
1600S300-68,50,8,1031.0,e
1600S300-68,50,10,825.0,e
1600S300-68,50,12,687.0,e
1600S350-68,50,3,2749.0,e
1600S350-68,50,4,2062.0,e
1600S350-68,50,5,1650.0,e
1600S350-68,50,6,1375.0,e
1600S350-68,50,8,1031.0,e
1600S350-68,50,10,825.0,e
1600S350-68,50,12,687.0,e
1600S200-97,50,3,8056.0,e
1600S200-97,50,4,6042.0,e
1600S200-97,50,5,4834.0,e
